Dataset,Method,Accuracy,F1_Score,Precision,Recall,N_itters,N_queries
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,25,60
Original Over Sampled,Random Forest - AL - Query By Committee,0.9787603305785124,0.1518151815181518,0.136094674556213,0.1716417910447761,25,60
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,25,60
Original Under Sampled,Random Forest - AL - Query By Committee,0.9816528925619836,0.1259842519685039,0.1333333333333333,0.1194029850746268,25,60
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,25,60
Original Normal,Random Forest - AL - Query By Committee,0.9785123966942147,0.1390728476821192,0.125,0.1567164179104477,25,60
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,25,60
Original Over Sampled,Random Forest - SSL - Self Training,0.9787603305785124,0.1288135593220339,0.1180124223602484,0.1417910447761194,25,60
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,25,60
Original Under Sampled,Random Forest - SSL - Self Training,0.9824793388429752,0.1451612903225806,0.1578947368421052,0.1343283582089552,25,60
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,25,60
Original Normal,Random Forest - SSL - Self Training,0.984214876033058,0.158590308370044,0.1935483870967742,0.1343283582089552,25,60
Original Over Sampled,Random Forest - Fine Tuned,0.982809917355372,0.1475409836065573,0.1636363636363636,0.1343283582089552,25,60
Original Over Sampled,Random Forest - SSL - Co Training,0.9803305785123968,0.1376811594202898,0.1338028169014084,0.1417910447761194,25,60
Original Under Sampled,Random Forest - Fine Tuned,0.9850413223140496,0.1421800947867298,0.1948051948051948,0.1119402985074626,25,60
Original Under Sampled,Random Forest - SSL - Co Training,0.9837190082644628,0.1397379912663755,0.1684210526315789,0.1194029850746268,25,60
Original Normal,Random Forest - Fine Tuned,0.9846280991735538,0.1388888888888889,0.1829268292682926,0.1119402985074626,25,60
Original Normal,Random Forest - SSL - Co Training,0.984793388429752,0.1320754716981132,0.1794871794871795,0.1044776119402985,25,60
